iip_przest,iip_identy,iip_wersja,jpt_sjr_ko,jpt_kod_je,jpt_nazwa_,jpt_nazw01,jpt_organ_,jpt_orga01,jpt_jor_id,wazny_od,wazny_do,jpt_wazna_,wersja_od,wersja_do,jpt_powier,jpt_kj_iip,jpt_kj_i01,jpt_kj_i02,jpt_kod_01,id_bufora_,id_bufor01,id_technic,jpt_opis,jpt_sps_ko,gra_ids,status_obi,opis_bledu,typ_bledu,id_woj,id_pow,id_gmi
PL.PZGIK.200,623ae3c2-7207-429d-b5b9-c43ddce98a52,2012-09-26T22:18:15+02:00,GMI,2602023,Jędrzejów,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,2602023,,,,13496,,826823,UZG,,AKTUALNY,,,26,2602,2602023
PL.PZGIK.200,06eb5f9a-e90e-4fa3-8fc4-c02f9b59c036,2012-09-26T22:18:15+02:00,GMI,2602092,Wodzisław,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,2602092,,,,13496,,826830,UZG,,AKTUALNY,,,26,2602,2602092
PL.PZGIK.200,1007c08c-3a51-41e9-baf7-edaa48dc167e,2012-09-26T22:18:15+02:00,GMI,2602082,Sobków,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,2602082,,,,13496,,826831,UZG,,AKTUALNY,,,26,2602,2602082
PL.PZGIK.200,cf2323df-2170-4e3e-a921-cfb6edfc3cba,2012-09-26T22:18:15+02:00,GMI,2602033,Małogoszcz,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,2602033,,,,13496,,826824,UZG,,AKTUALNY,,,26,2602,2602033
PL.PZGIK.200,88d162c2-1a1b-42f3-aa7e-ebd35f13c1d3,2012-09-26T22:18:15+02:00,GMI,2602052,Oksa,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,2602052,,,,13496,,826820,UZG,,AKTUALNY,,,26,2602,2602052
PL.PZGIK.200,78a385e9-9277-4e4d-86c1-d6a8755d4d9e,2012-09-26T22:18:15+02:00,GMI,2602042,Nagłowice,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,2602042,,,,13496,,826826,UZG,,AKTUALNY,,,26,2602,2602042
PL.PZGIK.200,5910f129-0b1e-4074-ae33-d3dabc5df465,2012-09-26T22:18:15+02:00,GMI,2602072,Słupia (Jędrzejowska),,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,2602072,,,,13496,,826827,UZG,,AKTUALNY,,,26,2602,2602072
PL.PZGIK.200,fa69e2a1-907f-4b9c-9418-995a597f6133,2012-09-26T22:18:08+02:00,GMI,2601022,Gnojno,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,2601022,,,,13495,,826811,UZG,,AKTUALNY,,,26,2601,2601022
PL.PZGIK.200,c70571eb-6a31-43c7-96a6-e13002bbb99c,2012-09-26T22:18:15+02:00,GMI,2602063,Sędziszów,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,2602063,,,,13496,,826829,UZG,,AKTUALNY,,,26,2602,2602063
PL.PZGIK.200,560b653e-f27c-432c-87be-abb49cbcd8d8,2012-09-26T22:18:15+02:00,GMI,2602012,Imielno,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,2602012,,,,13496,,826821,UZG,,AKTUALNY,,,26,2602,2602012
PL.PZGIK.200,4600e4c4-3137-4d7d-86b9-a78bf70c52c1,2012-09-26T22:18:08+02:00,GMI,2601072,Tuczępy,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,2601072,,,,13495,,826819,UZG,,AKTUALNY,,,26,2601,2601072
PL.PZGIK.200,e3e136de-bc2e-4eb8-9c54-a4e465708f56,2012-09-26T22:18:23+02:00,GMI,2603053,Skalbmierz,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,2603053,,,,13497,,826832,UZG,,AKTUALNY,,,26,2603,2603053
PL.PZGIK.200,dc2f744d-739e-4aa6-9581-f66eeb49689f,2012-09-26T22:18:23+02:00,GMI,2603012,Bejsce,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,2603012,,,,13497,,826833,UZG,,AKTUALNY,,,26,2603,2603012
PL.PZGIK.200,dd00f5d6-8412-47ea-9988-c26fd4fde32f,2012-09-26T22:18:08+02:00,GMI,2601052,Solec-Zdrój,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,2601052,,,,13495,,826817,UZG,,AKTUALNY,,,26,2601,2601052
