iip_przest,iip_identy,iip_wersja,jpt_sjr_ko,jpt_kod_je,jpt_nazwa_,jpt_nazw01,jpt_organ_,jpt_orga01,jpt_jor_id,wazny_od,wazny_do,jpt_wazna_,wersja_od,wersja_do,jpt_powier,jpt_kj_iip,jpt_kj_i01,jpt_kj_i02,jpt_kod_01,id_bufora_,id_bufor01,id_technic,jpt_opis,jpt_sps_ko,gra_ids,status_obi,opis_bledu,typ_bledu,id_woj,id_pow
PL.PZGIK.200,f87cae01-4621-41f4-b768-c777cf94d1d8,2012-09-27T08:01:01+02:00,POW,1812,powiat niżański,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,1812,,,,13878,,829081,UZG,,AKTUALNY,,,18,1812
PL.PZGIK.200,f322275e-1c48-431f-889e-8bb0ccb46e81,2012-09-27T08:01:01+02:00,POW,1813,powiat przemyski,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,1813,,,,13878,,829082,UZG,,AKTUALNY,,,18,1813
PL.PZGIK.200,59e7c5a7-8597-4c55-812a-b30932c08dd2,2012-09-27T08:01:01+02:00,POW,1814,powiat przeworski,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,1814,,,,13878,,829083,UZG,,AKTUALNY,,,18,1814
PL.PZGIK.200,e86b1e71-8958-42ee-bec5-ca3c87907bc8,2012-09-27T08:01:01+02:00,POW,1815,powiat ropczycko-sędziszowski,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,1815,,,,13878,,829084,UZG,,AKTUALNY,,,18,1815
PL.PZGIK.200,7f2af54d-150f-4b9f-b9fb-d2ce1b04166e,2012-09-27T08:01:01+02:00,POW,1816,powiat rzeszowski,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,1816,,,,13878,,829085,UZG,,AKTUALNY,,,18,1816
PL.PZGIK.200,00d02105-cbd3-45ef-837b-ea0fa86bf60c,2012-09-27T08:01:01+02:00,POW,1817,powiat sanocki,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,1817,,,,13878,,829086,UZG,,AKTUALNY,,,18,1817
PL.PZGIK.200,12eb1323-4957-4dae-8cba-92aca864bd69,2012-09-27T08:01:01+02:00,POW,1818,powiat stalowowolski,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,1818,,,,13878,,829087,UZG,,AKTUALNY,,,18,1818
PL.PZGIK.200,fa694811-8438-4a7c-a5c7-d66a2f051a1b,2012-09-27T08:01:01+02:00,POW,1819,powiat strzyżowski,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,1819,,,,13878,,829088,UZG,,AKTUALNY,,,18,1819
PL.PZGIK.200,c030b5a4-f5da-44e9-9ced-95005478a236,2012-09-27T08:01:01+02:00,POW,1820,powiat tarnobrzeski,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,1820,,,,13878,,829089,UZG,,AKTUALNY,,,18,1820
PL.PZGIK.200,8958f2fe-1765-441b-a5e0-852773911e99,2012-09-27T08:01:01+02:00,POW,1821,powiat leski,,,NZN,,1899-11-30T00:00:00.000Z,1899-11-30T00:00:00.000Z,6        NZN,1899-11-30T00:00:00.000Z,1920-12-09T00:00:00.000Z,26,0000000000EGIB,1821,,,,13878,,829090,UZG,,AKTUALNY,,,18,1821
