id_pow,nazwa,area_ha,area_km2,pop,pop_per_km2,rating_area,rating_pop,id_woj
0201,boles³awiecki,130351,1304,90306,69,64,99,2
0202,dzier¿oniowski,47851,479,104613,219,285,78,2
0203,g³ogowski,44327,443,90302,204,293,100,2
0204,górowski,73827,738,36391,49,199,297,2
0205,jaworski,58155,582,52070,90,261,238,2
0206,jeleniogórski,62714,627,65171,104,242,186,2
0207,kamiennogórski,39569,396,45039,114,301,268,2
0208,k³odzki,164330,1642,164680,100,25,13,2
0209,legnicki,74408,744,54869,74,196,228,2
0210,lubañski,42830,428,56117,131,296,224,2
0211,lubiñski,71162,712,106512,150,212,74,2
0212,lwówecki,70969,710,47317,67,214,258,2
0213,milicki,71493,715,37320,52,209,294,2
0214,oleœnicki,104931,1049,106088,101,112,75,2
0215,o³awski,52410,524,75793,145,276,148,2
0216,polkowicki,77946,779,63240,81,185,190,2
0217,strzeliñski,62206,622,44393,71,246,271,2
0218,œredzki,70414,704,52445,74,216,237,2
0219,œwidnicki,74114,741,160932,217,197,16,2
0220,trzebnicki,102478,1025,83041,81,121,121,2
0221,wa³brzyski,43022,430,57834,134,295,211,2
0222,wo³owski,67496,675,47569,70,229,255,2
0223,wroc³awski,111770,1118,127896,114,104,38,2
0224,z¹bkowicki,80153,802,67875,85,180,171,2
0225,zgorzelecki,83864,839,93158,111,167,93,2
0226,z³otoryjski,57581,576,45056,78,263,267,2
0261,JeleniaGóra,10922,109,81985,751,23,45,2
0262,Legnica,5629,56,101992,1812,50,39,2
0265,Wa³brzych,8470,85,117926,1392,33,33,2
0264,Wroc³aw,29282,293,632067,2159,5,4,2
0401,aleksandrowski,47463,475,55919,118,286,225,4
0402,brodnicki,103997,1040,78102,75,116,137,4
0403,bydgoski,139412,1395,110565,79,49,65,4
0404,che³miñski,52694,527,52610,100,275,235,4
0405,golubsko-dobrzyñski,61285,613,45480,74,254,265,4
0406,grudzi¹dzki,72776,728,40135,55,205,287,4
0407,inowroc³awski,122518,1225,163682,134,78,14,4
0408,lipnowski,101574,1016,67231,66,123,177,4
0409,mogileñski,67512,675,46590,69,228,261,4
0410,nakielski,112008,1120,86969,78,101,111,4
0411,radziejowski,60720,607,41646,69,256,282,4
0412,rypiñski,58647,586,44723,76,259,269,4
0413,sêpoleñski,79109,791,41636,53,183,283,4
0414,œwiecki,147418,1474,99839,68,40,82,4
0415,toruñski,123042,1230,100972,82,77,80,4
0416,tucholski,107546,1075,48283,45,107,252,4
0417,w¹brzeski,50195,502,35034,70,280,303,4
0418,w³oc³awski,147363,1474,86920,59,41,113,4
0419,¿niñski,98477,985,70792,72,131,163,4
0461,Bydgoszcz,17598,176,359428,2042,10,8,4
0462,Grudzi¹dz,5776,58,97676,1691,48,40,4
0463,Toruñ,11572,116,203447,1758,20,16,4
0464,W³oc³awek,8432,84,114885,1362,34,34,4
0601,bialski,275426,2755,113336,41,3,59,6
0602,bi³gorajski,168110,1681,103366,61,20,79,6
0603,che³mski,188560,1887,79573,42,11,131,6
0604,hrubieszowski,126802,1268,67157,53,70,178,6
0605,janowski,87528,875,47296,54,160,259,6
0606,krasnostawski,103144,1031,66559,65,118,179,6
0607,kraœnicki,100530,1005,98749,98,126,84,6
0608,lubartowski,128874,1289,90065,70,66,101,6
0609,lubelski,167953,1680,149481,89,21,26,6
0610,³êczyñski,63664,637,57587,90,241,215,6
0611,³ukowski,139421,1394,109325,78,48,67,6
0612,opolski,81002,810,61803,76,176,194,6
0613,parczewski,95220,952,36044,38,141,299,6
0614,pu³awski,93409,934,116206,124,145,53,6
0615,radzyñski,96506,965,60870,63,137,196,6
0616,rycki,61453,615,58080,95,253,209,6
0617,œwidnicki,46835,468,72960,156,289,158,6
0618,tomaszowski,148889,1489,86936,58,38,112,6
0619,w³odawski,125642,1256,39567,31,73,289,6
0620,zamojski,187029,1870,109198,58,12,69,6
0661,Bia³aPodlaska,4940,49,57658,1167,51,58,6
0662,Che³m,3528,35,65481,1856,56,52,6
0663,Lublin,14747,147,343598,2330,15,9,6
0664,Zamoœæ,3034,30,65255,2151,61,53,6
0801,gorzowski,121423,1214,70376,58,84,165,8
0802,kroœnieñski,139125,1391,56627,41,51,221,8
0803,miêdzyrzecki,138761,1388,58697,42,52,205,8
0804,nowosolski,77073,771,87727,114,192,110,8
0805,s³ubicki,99929,999,47318,47,129,257,8
0806,strzelecko-drezdenecki,124786,1248,50418,40,75,245,8
0807,sulêciñski,117780,1178,35768,30,90,301,8
0808,œwiebodziñski,93657,937,56546,60,144,222,8
0812,wschowski,62420,624,39434,63,244,291,8
0809,zielonogórski,156973,1569,94919,60,32,91,8
0810,¿agañski,113178,1132,81803,72,98,124,8
0811,¿arski,139278,1393,99088,71,50,83,8
0861,GorzówWielkopolski,8572,86,124344,1451,30,27,8
0862,ZielonaGóra,5834,58,118405,2030,47,32,8
1001,be³chatowski,96760,968,113105,117,135,60,10
1021,brzeziñski,35856,359,30923,86,308,309,10
1002,kutnowski,88686,887,100407,113,155,81,10
1003,³aski,61823,618,50687,82,248,244,10
1004,³êczycki,77275,773,51673,67,188,240,10
1005,³owicki,98817,988,80329,81,130,127,10
1006,³ódzkiwschodni,49976,500,69759,140,281,169,10
1007,opoczyñski,104019,1040,78057,75,114,139,10
1008,pabianicki,49218,492,119672,243,283,50,10
1009,pajêczañski,80382,804,52533,65,179,236,10
1010,piotrkowski,142874,1429,91618,64,44,97,10
1011,poddêbicki,88121,881,41871,48,156,281,10
1012,radomszczañski,144257,1443,116316,81,43,52,10
1013,rawski,64620,646,49577,77,236,248,10
1014,sieradzki,149083,1491,120057,81,37,48,10
1015,skierniewicki,75357,753,38292,51,193,292,10
1016,tomaszowski,102479,1025,119759,117,120,49,10
1017,wieluñski,92648,926,77720,84,147,141,10
1018,wieruszowski,57713,577,42260,73,262,279,10
1019,zduñskowolski,36923,369,67928,184,305,170,10
1020,zgierski,85518,855,164681,193,162,12,10
1061,£ódŸ,29325,293,711332,2426,4,3,10
1062,PiotrkówTrybunalski,6724,67,75903,1129,43,48,10
1063,Skierniewice,3441,35,48634,1413,57,62,10
1201,bocheñski,64856,649,104765,162,235,77,12
1202,brzeski,59052,591,92781,157,257,95,12
1203,chrzanowski,37160,372,127301,343,304,39,12
1204,d¹browski,53025,530,59513,112,274,202,12
1205,gorlicki,96646,966,109201,113,136,68,12
1206,krakowski,123052,1231,266649,217,76,2,12
1207,limanowski,95123,951,128545,135,142,37,12
1208,miechowski,67629,676,49966,74,226,246,12
1209,myœlenicki,67308,673,123991,184,230,42,12
1210,nowos¹decki,154980,1549,211045,136,33,4,12
1211,nowotarski,147499,1474,189623,129,39,8,12
1212,olkuski,61811,618,114073,185,249,58,12
1213,oœwiêcimski,40558,406,155040,382,300,21,12
1214,proszowicki,41487,415,43864,106,298,273,12
1215,suski,68571,686,84111,123,223,117,12
1216,tarnowski,141158,1412,199675,141,47,7,12
1217,tatrzañski,47165,472,67847,144,287,172,12
1218,wadowicki,64440,644,158983,247,237,18,12
1219,wielicki,41078,411,118553,289,299,51,12
1261,Kraków,32685,327,758992,2322,2,2,12
1262,NowyS¹cz,5758,58,83943,1458,49,44,12
1263,Tarnów,7238,72,112120,1549,40,35,12
1401,bia³obrzeski,63910,639,33669,53,240,307,14
1402,ciechanowski,105980,1060,90978,86,111,98,14
1403,garwoliñski,128483,1285,108562,84,68,72,14
1404,gostyniñski,61481,615,46517,76,252,263,14
1405,grodziski,36704,367,88634,241,306,106,14
1406,grójecki,126773,1268,98709,78,71,85,14
1407,kozienicki,91610,916,62100,68,151,192,14
1408,legionowski,39076,390,111060,284,303,62,14
1409,lipski,74022,740,35564,48,198,302,14
1410,³osicki,77245,772,32101,42,190,308,14
1411,makowski,106467,1065,46577,44,110,262,14
1412,miñski,116372,1164,149897,129,92,25,14
1413,m³awski,118182,1182,74042,63,89,153,14
1414,nowodworski,69479,695,78500,113,220,135,14
1415,ostro³êcki,209838,2097,88116,42,7,107,14
1416,ostrowski,121779,1218,74683,61,83,149,14
1417,otwocki,61592,616,122342,199,251,44,14
1418,piaseczyñski,62100,621,171589,276,247,10,14
1419,p³ocki,179663,1796,111047,62,15,63,14
1420,p³oñski,137979,1380,88825,64,56,105,14
1421,pruszkowski,24630,246,158183,642,310,19,14
1422,przasnyski,121858,1219,53536,44,82,233,14
1423,przysuski,80119,801,42980,54,181,274,14
1424,pu³tuski,82742,827,51395,62,173,241,14
1425,radomski,152978,1530,151085,99,34,24,14
1426,siedlecki,160348,1603,81792,51,28,125,14
1427,sierpecki,85204,852,53326,63,164,234,14
1428,sochaczewski,73480,735,85155,116,201,115,14
1429,soko³owski,113117,1131,55812,49,99,226,14
1430,szyd³owiecki,45181,452,40430,89,292,286,14
1432,warszawskizachodni,53379,534,110984,208,272,64,14
1433,wêgrowski,122076,1221,67596,55,81,174,14
1434,wo³omiñski,95356,954,228819,240,140,3,14
1435,wyszkowski,87643,876,73914,84,158,154,14
1436,zwoleñski,57330,573,36967,64,265,296,14
1437,¿uromiñski,80660,807,40014,50,177,288,14
1438,¿yrardowski,53254,533,76391,143,273,145,14
1461,Ostro³êka,2863,29,52917,1848,62,60,14
1462,P³ock,8804,88,122815,1395,29,30,14
1463,Radom,11180,112,218466,1954,21,14,14
1464,Siedlce,3186,32,76347,2396,60,47,14
1465,m.st.Warszawa,51724,517,1724404,3334,1,1,14
1601,brzeski,87596,876,91981,105,159,96,16
1602,g³ubczycki,67263,673,47453,71,231,256,16
1603,kêdzierzyñsko-kozielski,62513,625,97181,155,243,87,16
1604,kluczborski,85191,852,67256,79,165,176,16
1605,krapkowicki,44180,442,65113,147,294,187,16
1606,namys³owski,74818,748,42881,57,194,275,16
1607,nyski,122388,1224,140628,115,79,29,16
1608,oleski,97338,973,65653,67,132,184,16
1609,opolski,158663,1586,133217,84,29,35,16
1610,prudnicki,57155,572,56828,99,267,219,16
1611,strzelecki,74427,744,76079,102,195,147,16
1661,Opole,9655,97,120146,1244,26,31,16
1801,bieszczadzki,113907,1139,22204,19,97,313,18
1802,brzozowski,53934,539,66334,123,271,181,18
1803,dêbicki,77748,777,135165,174,186,34,18
1804,jaros³awski,102866,1029,122130,119,119,45,18
1805,jasielski,83087,831,115388,139,172,55,18
1806,kolbuszowski,77317,774,62751,81,187,191,18
1807,kroœnieñski,92588,926,111883,121,148,61,18
1821,leski,83494,835,26783,32,169,311,18
1808,le¿ajski,58371,583,69977,120,260,167,18
1809,lubaczowski,130837,1308,57057,44,61,217,18
1810,³añcucki,45184,452,79866,177,291,129,18
1811,mielecki,88050,880,136403,155,157,32,18
1812,ni¿añski,78564,786,67521,86,184,175,18
1813,przemyski,121122,1211,74225,61,86,152,18
1814,przeworski,69802,698,79262,114,218,132,18
1815,ropczycko-sêdziszowski,54831,548,73551,134,269,156,18
1816,rzeszowski,115738,1157,165835,143,95,11,18
1817,sanocki,122366,1224,96096,79,80,89,18
1818,stalowowolski,83174,832,108664,131,171,71,18
1819,strzy¿owski,50347,504,62095,123,279,193,18
1820,tarnobrzeski,52106,521,53918,103,278,232,18
1861,Krosno,4350,44,47223,1086,53,64,18
1862,Przemyœl,4617,46,63638,1378,52,55,18
1863,Rzeszów,11636,117,183108,1574,19,19,18
1864,Tarnobrzeg,8540,85,48217,565,31,63,18
2001,augustowski,165939,1659,59558,36,23,201,20
2002,bia³ostocki,297644,2975,144978,49,1,27,20
2003,bielski,138509,1385,57599,42,54,214,20
2004,grajewski,96762,968,48916,51,134,249,20
2005,hajnowski,162353,1624,45415,28,26,266,20
2006,kolneñski,94010,940,39555,42,143,290,20
2007,³om¿yñski,135459,1355,51860,38,58,239,20
2008,moniecki,138179,1382,42077,30,55,280,20
2009,sejneñski,85517,855,20891,24,163,314,20
2010,siemiatycki,145946,1459,46938,32,42,260,20
2011,sokólski,205450,2055,70525,34,8,164,20
2012,suwalski,130700,1307,35924,27,63,300,20
2013,wysokomazowiecki,128891,1289,58793,46,65,204,20
2014,zambrowski,73312,733,44626,61,202,270,20
2061,Bia³ystok,10213,102,295282,2891,24,11,20
2062,£om¿a,3267,33,62711,1920,59,56,20
2063,Suwa³ki,6551,66,69317,1058,45,50,20
2201,bytowski,219207,2192,78307,36,6,136,22
2202,chojnicki,136421,1364,96213,71,57,88,22
2203,cz³uchowski,157527,1575,57193,36,31,216,22
2204,gdañski,79375,794,105247,133,182,76,22
2205,kartuski,112054,1121,125076,112,100,41,22
2206,koœcierski,116567,1166,71241,61,91,161,22
2207,kwidzyñski,83470,835,83611,100,170,119,22
2208,lêborski,70602,706,66130,94,215,182,22
2209,malborski,49423,494,64371,130,282,188,22
2210,nowodworski,67153,672,36332,54,232,298,22
2211,pucki,57214,572,81597,143,266,126,22
2212,s³upski,230424,2304,97437,42,4,86,22
2213,starogardzki,134534,1345,127279,95,59,40,22
2216,sztumski,73074,731,42511,58,203,278,22
2214,tczewski,69711,697,115962,166,219,54,22
2215,wejherowski,128525,1285,205892,160,67,6,22
2261,Gdañsk,26196,262,461531,1762,6,6,22
2262,Gdynia,13514,135,248042,1835,16,12,22
2263,S³upsk,4315,43,93936,2177,54,41,22
2264,Sopot,1728,17,37903,2193,64,66,22
2401,bêdziñski,36413,364,151170,415,307,23,24
2402,bielski,45864,459,160405,350,290,17,24
2414,bieruñsko-lêdziñski,15815,158,58597,371,313,206,24
2403,cieszyñski,73029,730,177479,243,204,9,24
2404,czêstochowski,152205,1521,135549,89,35,33,24
2405,gliwicki,66437,664,115254,173,234,56,24
2406,k³obucki,88859,889,85576,96,154,114,24
2407,lubliniecki,82225,822,77205,94,174,142,24
2408,miko³owski,23314,233,95769,411,311,90,24
2409,myszkowski,47925,479,72051,150,284,159,24
2410,pszczyñski,47112,471,108897,231,288,70,24
2411,raciborski,54376,544,109564,201,270,66,24
2412,rybnicki,22364,224,76915,344,312,143,24
2413,tarnogórski,64419,644,138351,215,238,30,24
2415,wodzis³awski,28675,287,157787,550,309,20,24
2416,zawierciañski,100223,1003,121683,121,128,46,24
2417,¿ywiecki,104006,1040,153108,147,115,22,24
2461,Bielsko-Bia³a,12451,125,173699,1395,18,22,24
2462,Bytom,6944,69,173439,2498,41,23,24
2463,Chorzów,3324,33,110761,3332,58,36,24
2464,Czêstochowa,15971,160,232318,1455,12,13,24
2465,D¹browaGórnicza,18873,189,123994,657,9,28,24
2466,Gliwice,13388,134,185450,1385,17,18,24
2467,Jastrzêbie-Zdrój,8533,85,91235,1069,32,43,24
2468,Jaworzno,15259,153,93708,614,13,42,24
2469,Katowice,16464,165,304362,1849,11,10,24
2470,Mys³owice,6562,66,75129,1145,44,49,24
2471,PiekaryŒl¹skie,3998,40,57148,1429,55,59,24
2472,RudaŒl¹ska,7773,78,141521,1821,39,24,24
2473,Rybnik,14836,148,140173,945,14,25,24
2474,SiemianowiceŒl¹skie,2550,25,68844,2700,63,51,24
2475,Sosnowiec,9106,91,211275,2320,27,15,24
2476,Œwiêtoch³owice,1331,13,51824,3894,65,61,24
2477,Tychy,8181,82,128812,1575,36,26,24
2478,Zabrze,8040,80,178357,2218,37,20,24
2479,¯ory,6464,65,62038,960,46,57,24
2601,buski,96800,968,73591,76,133,155,26
2602,jêdrzejowski,125696,1257,87987,70,72,109,26
2603,kazimierski,42218,422,34943,83,297,304,26
2604,kielecki,224607,2246,207588,92,5,5,26
2605,konecki,113972,1140,83392,73,96,120,26
2606,opatowski,91090,911,54656,60,152,229,26
2607,ostrowiecki,61678,617,114418,186,250,57,26
2608,piñczowski,61285,613,40611,66,254,284,26
2609,sandomierski,67589,676,80069,118,227,128,26
2610,skar¿yski,39543,395,78072,197,302,138,26
2611,starachowicki,52341,523,93216,178,277,92,26
2612,staszowski,92480,925,73505,79,150,157,26
2613,w³oszczowski,90786,908,46321,51,153,264,26
2661,Kielce,10965,110,199870,1823,22,17,26
2801,bartoszycki,130749,1307,60205,46,62,199,28
2802,braniewski,120165,1202,42740,36,87,276,28
2803,dzia³dowski,95393,954,66485,70,139,180,28
2804,elbl¹ski,141558,1416,58260,41,45,208,28
2805,e³cki,111279,1113,89477,80,105,103,28
2806,gi¿ycki,111951,1120,57616,51,102,213,28
2818,go³dapski,77189,772,27460,36,191,310,28
2807,i³awski,138522,1385,93134,67,53,94,28
2808,kêtrzyñski,121299,1213,65509,54,85,185,28
2809,lidzbarski,92500,925,42582,46,149,277,28
2810,mr¹gowski,106538,1065,51069,48,108,242,28
2811,nidzicki,96064,961,33903,35,138,306,28
2812,nowomiejski,69393,694,44265,64,221,272,28
2813,olecki,87400,874,34887,40,161,305,28
2814,olsztyñski,283802,2837,122483,43,2,43,28
2815,ostródzki,176629,1766,106727,60,17,73,28
2816,piski,177458,1775,57819,33,16,212,28
2817,szczycieñski,193321,1933,71027,37,9,162,28
2819,wêgorzewski,69322,693,23693,34,222,312,28
2861,Elbl¹g,7982,80,122899,1540,38,29,28
2862,Olsztyn,8833,88,174675,1978,28,21,28
3001,chodzieski,68506,685,47639,70,224,254,30
3002,czarnkowsko-trzcianecki,180605,1806,88081,49,14,108,30
3003,gnieŸnieñski,125503,1255,144955,115,74,28,30
3004,gostyñski,81025,810,76239,94,175,146,30
3005,grodziski,64187,642,50971,79,239,243,30
3006,jarociñski,58729,587,71636,122,258,160,30
3007,kaliski,115999,1160,82585,71,94,122,30
3008,kêpiñski,60826,608,56392,93,255,223,30
3009,kolski,101071,1011,89077,88,125,104,30
3010,koniñski,157835,1578,128698,82,30,36,30
3011,koœciañski,72242,722,78981,109,208,134,30
3012,krotoszyñski,71368,714,77958,109,210,140,30
3013,leszczyñski,80581,806,54039,67,178,231,30
3014,miêdzychodzki,73644,736,37094,50,200,295,30
3015,nowotomyski,101362,1014,74336,73,124,151,30
3016,obornicki,71104,711,59101,83,213,203,30
3017,ostrowski,116012,1160,161216,139,93,15,30
3018,ostrzeszowski,77263,773,55454,72,189,227,30
3019,pilski,126821,1268,138218,109,69,31,30
3020,pleszewski,71307,713,63296,89,211,189,30
3021,poznañski,189988,1900,352395,185,10,1,30
3022,rawicki,55352,554,60393,109,268,198,30
3023,s³upecki,83801,838,59651,71,168,200,30
3024,szamotulski,111929,1119,89608,80,103,102,30
3025,œredzki,62386,624,56921,91,245,218,30
3026,œremski,57410,574,60725,106,264,197,30
3027,turecki,92943,929,84420,91,146,116,30
3028,w¹growiecki,103965,1040,69837,67,117,168,30
3029,wolsztyñski,67973,680,56780,84,225,220,30
3030,wrzesiñski,70357,704,76481,109,217,144,30
3031,z³otowski,166017,1660,70001,42,22,166,30
3061,Kalisz,6942,69,103997,1498,42,38,30
3062,Konin,8220,82,77224,939,35,46,30
3063,Leszno,3186,32,64589,2027,60,54,30
3064,Poznañ,26191,262,548028,2092,7,5,30
3201,bia³ogardzki,84546,845,48899,58,166,250,32
3202,choszczeñski,132763,1328,49929,38,60,247,32
3203,drawski,176424,1764,58403,33,19,207,32
3204,goleniowski,161553,1616,82270,51,27,123,32
3205,gryficki,101737,1017,61672,61,122,195,32
3206,gryfiñski,186911,1870,83880,45,13,118,32
3207,kamieñski,100344,1003,47947,48,127,253,32
3208,ko³obrzeski,72466,725,79624,110,207,130,32
3209,koszaliñski,165346,1653,65981,40,24,183,32
3218,³obeski,106513,1065,37966,36,109,293,32
3210,myœliborski,118240,1182,67698,57,88,173,32
3211,policki,66533,665,74483,112,233,150,32
3212,pyrzycki,72600,726,40532,56,206,285,32
3213,s³awieñski,104320,1043,57855,55,113,210,32
3214,stargardzki,151994,1520,120726,79,36,47,32
3215,szczecinecki,176542,1766,79104,45,18,133,32
3216,œwidwiñski,109306,1093,48582,44,106,251,32
3217,wa³ecki,141498,1415,54597,39,46,230,32
3261,Koszalin,9834,98,109170,1110,25,37,32
3262,Szczecin,30055,301,408172,1358,3,7,32
3263,Œwinoujœcie,19723,197,41371,210,8,65,32
