iip_przest,iip_identy,iip_wersja,jpt_sjr_ko,jpt_kod_je,jpt_nazwa_,jpt_nazw01,jpt_organ_,jpt_orga01,jpt_jor_id,wazny_od,wazny_do,jpt_wazna_,wersja_od,wersja_do,jpt_powier,jpt_kj_iip,jpt_kj_i01,jpt_kj_i02,jpt_kod_01,id_bufora_,id_bufor01,id_technic,jpt_opis,jpt_sps_ko,gra_ids,status_obi,opis_bledu,typ_bledu,id_woj
PL.PZGIK.200,9bd0c42a-ca40-4b7d-9b5b-81aae3398015,2012-09-27T13:45:13+02:00,WOJ,16,opolskie,,,NZN,,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,NZN,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,941272,EGIB,16,,,13890,,829371,,UZG,,AKTUALNY,,,16
PL.PZGIK.200,d021c0dd-b22e-4fcd-8444-904c64ec3aa8,2012-09-27T13:45:13+02:00,WOJ,26,świętokrzyskie,,,NZN,,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,NZN,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,1171136,EGIB,26,,,13890,,829374,,UZG,,AKTUALNY,,,26
PL.PZGIK.200,c26354a4-3043-4ca9-9105-df6f0f9c1d93,2012-09-27T13:45:13+02:00,WOJ,04,kujawsko-pomorskie,,,NZN,,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,NZN,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,1797058,EGIB,04,,,13890,,829380,,UZG,,AKTUALNY,,,04
PL.PZGIK.200,4b6c492a-eb04-441d-a92a-f44359c06de7,2012-09-27T13:45:13+02:00,WOJ,14,mazowieckie,,,NZN,,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,NZN,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,3555920,EGIB,14,,,13890,,829370,,UZG,,AKTUALNY,,,14
PL.PZGIK.200,ece93e09-0215-42f3-8067-be0649f58d46,2012-09-27T13:45:13+02:00,WOJ,22,pomorskie,,,NZN,,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,NZN,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,1831001,EGIB,22,,,13890,,829375,,UZG,,AKTUALNY,,,22
PL.PZGIK.200,98a63fe6-1e56-4d05-9c47-ab4233f8a6ff,2012-09-27T13:45:13+02:00,WOJ,24,śląskie,,,NZN,,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,NZN,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,1233406,EGIB,24,,,13890,,829376,,UZG,,AKTUALNY,,,24
PL.PZGIK.200,45e7cfc6-6d8b-42ff-acbd-ef1d0a53dacb,2012-09-27T13:45:13+02:00,WOJ,28,warmińsko-mazurskie,,,NZN,,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,NZN,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,2417419,EGIB,28,,,13890,,829377,,UZG,,AKTUALNY,,,28
PL.PZGIK.200,c3f2202a-b491-49c5-a3af-d581108d939a,2012-09-27T13:45:13+02:00,WOJ,32,zachodniopomorskie,,,NZN,,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,NZN,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,2289315,EGIB,32,,,13890,,829378,,UZG,,AKTUALNY,,,32
PL.PZGIK.200,f1ef3856-09ba-4e3d-af9d-a876794d570f,2012-09-27T13:45:13+02:00,WOJ,02,dolnośląskie,,,NZN,,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,NZN,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,1994777,EGIB,02,,,13890,,829379,,UZG,,AKTUALNY,,,02
PL.PZGIK.200,c606b01a-76c8-480d-9470-f24ca0d7a613,2013-07-09T11:04:17+02:00,WOJ,30,wielkopolskie,,,NZN,,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,NZN,2013-07-09T00:00:00.000Z,1899-11-30T00:00:00.000Z,2982774,EGIB,30,,,,14890,829372,,UZG,,AKTUALNY,,,30
PL.PZGIK.200,7d7e4145-814d-4159-8d85-e91946e444c5,2012-09-27T13:45:13+02:00,WOJ,10,łódzkie,,,NZN,,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,NZN,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,1821720,EGIB,10,,,13890,,829367,,UZG,,AKTUALNY,,,10
PL.PZGIK.200,53ad7aea-d9d3-40c9-9a5c-ff737d5b076e,2012-09-27T13:45:13+02:00,WOJ,20,podlaskie,,,NZN,,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,NZN,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,2018598,EGIB,20,,,13890,,829373,,UZG,,AKTUALNY,,,20
PL.PZGIK.200,dd2e3c64-f861-47cf-a3a3-e7751f272b2f,2012-09-27T13:45:12+02:00,WOJ,12,małopolskie,,,NZN,,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,NZN,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,1518007,EGIB,12,,,13890,,829366,,UZG,,AKTUALNY,,,12
PL.PZGIK.200,42d2335f-bd81-491e-b93c-effe1bcab872,2013-07-09T11:04:17+02:00,WOJ,08,lubuskie,,,NZN,,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,NZN,2013-07-09T00:00:00.000Z,1899-11-30T00:00:00.000Z,1398751,EGIB,08,,,,14890,829368,,UZG,,AKTUALNY,,,08
PL.PZGIK.200,833fe14b-fe8e-40c7-9e4e-fc27c938bb11,2012-09-27T13:45:13+02:00,WOJ,18,podkarpackie,,,NZN,,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,NZN,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,1784523,EGIB,18,,,13890,,829369,,UZG,,AKTUALNY,,,18
PL.PZGIK.200,a1e8cdc7-d26d-4982-946f-ff3e5082eecd,2012-09-27T13:45:12+02:00,WOJ,06,lubelskie,,,NZN,,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,NZN,2012-09-26T00:00:00.000Z,1899-11-30T00:00:00.000Z,2512291,EGIB,06,,,13890,,829365,,UZG,,AKTUALNY,,,06

